iter	Passed	Remaining
889	78156	53567
890	78246	53481
891	78331	53391
892	78418	53303
893	78505	53215
894	78589	53124
895	78673	53034
896	78758	52944
897	78847	52857
898	78932	52768
899	79020	52680
900	79113	52595
901	79198	52506
902	79291	52421
903	79379	52334
904	79464	52244
905	79554	52158
906	79642	52070
907	79730	51982
908	79815	51893
909	79908	51808
910	79996	51721
911	80088	51635
912	80175	51547
913	80264	51460
914	80353	51373
915	80443	51287
916	80528	51197
917	80620	51112
918	80706	51023
919	80792	50934
920	80876	50844
921	80958	50752
922	81039	50660
923	81120	50568
924	81205	50479
925	81294	50392
926	81379	50302
927	81466	50214
928	81559	50129
929	81644	50040
930	81728	49950
931	81813	49860
932	81899	49771
933	81982	49681
934	82065	49590
935	82150	49500
936	82234	49411
937	82318	49320
938	82407	49233
939	82495	49146
940	82560	49044
941	82647	48956
942	82733	48867
943	82814	48776
944	82898	48686
945	82968	48588
946	83056	48500
947	83137	48409
948	83221	48319
949	83307	48230
950	83392	48141
951	83483	48055
952	83568	47966
953	83655	47878
954	83742	47790
955	83829	47702
956	83910	47610
957	83999	47523
958	84087	47436
959	84176	47349
960	84261	47260
961	84349	47172
962	84436	47084
963	84522	46995
964	84612	46909
965	84696	46819
966	84777	46728
967	84869	46643
968	84951	46552
969	85038	46464
970	85119	46373
971	85207	46285
972	85295	46197
973	85382	46110
974	85472	46023
975	85537	45923
976	85623	45835
977	85709	45746
978	85797	45659
979	85885	45571
980	85967	45481
981	86054	45393
982	86142	45305
983	86228	45217
984	86314	45128
985	86403	45041
986	86491	44954
987	86585	44870
988	86669	44780
989	86756	44692
990	86842	44604
991	86931	44517
992	87026	44433
993	87115	44346
994	87206	44260
995	87296	44174
996	87381	44085
997	87467	43996
998	87556	43909
999	87643	43821
1000	87729	43733
1001	87818	43646
1002	87907	43559
1003	87999	43473
1004	88088	43386
1005	88177	43300
1006	88267	43213
1007	88353	43124
1008	88437	43035
1009	88523	42947
1010	88611	42859
1011	88698	42771
1012	88785	42683
1013	88873	42596
1014	88963	42509
1015	89048	42420
1016	89132	42331
1017	89217	42242
1018	89322	42163
1019	89414	42077
1020	89501	41989
1021	89591	41902
1022	89674	41812
1023	89757	41723
1024	89841	41634
1025	89926	41545
1026	89996	41448
1027	90077	41358
1028	90160	41268
1029	90247	41180
1030	90332	41092
1031	90417	41003
1032	90510	40918
1033	90598	40830
1034	90691	40745
1035	90776	40656
1036	90859	40566
1037	90944	40478
1038	91035	40391
1039	91124	40304
1040	91215	40219
1041	91306	40132
1042	91396	40046
1043	91482	39958
1044	91571	39871
1045	91658	39782
1046	91747	39695
1047	91833	39607
1048	91925	39521
1049	92014	39434
1050	92106	39349
1051	92204	39265
1052	92299	39181
1053	92393	39096
1054	92484	39010
1055	92579	38925
1056	92670	38839
1057	92762	38753
1058	92846	38663
1059	92929	38574
1060	93013	38485
1061	93104	38399
1062	93191	38311
1063	93280	38223
1064	93368	38136
1065	93455	38048
1066	93542	37960
1067	93634	37874
1068	93723	37787
1069	93811	37699
1070	93899	37612
1071	93991	37526
1072	94085	37441
1073	94176	37355
1074	94265	37267
1075	94358	37182
1076	94412	37081
1077	94500	36993
1078	94593	36907
1079	94689	36823
1080	94781	36737
1081	94875	36652
1082	94969	36567
1083	95066	36483
1084	95156	36396
1085	95242	36308
1086	95332	36221
1087	95424	36135
1088	95523	36051
1089	95613	35964
1090	95697	35875
1091	95782	35786
1092	95871	35699
1093	95960	35612
1094	96047	35524
1095	96137	35437
1096	96225	35350
1097	96310	35261
1098	96398	35173
1099	96490	35087
1100	96579	35000
1101	96666	34912
1102	96751	34823
1103	96845	34737
1104	96942	34653
1105	97030	34565
1106	97115	34477
1107	97200	34388
1108	97290	34301
1109	97379	34214
1110	97468	34127
1111	97553	34038
1112	97644	33951
1113	97730	33863
1114	97821	33776
1115	97909	33689
1116	97995	33601
1117	98079	33511
1118	98167	33424
1119	98256	33337
1120	98344	33249
1121	98429	33160
1122	98516	33072
1123	98601	32984
1124	98665	32888
1125	98753	32800
1126	98847	32715
1127	98941	32629
1128	99028	32541
1129	99114	32453
1130	99203	32366
1131	99284	32276
1132	99371	32188
1133	99458	32100
1134	99541	32011
1135	99628	31923
1136	99716	31835
1137	99804	31747
1138	99897	31661
1139	99978	31572
1140	100066	31484
1141	100152	31396
1142	100242	31309
1143	100327	31220
1144	100416	31133
1145	100504	31045
1146	100590	30957
1147	100673	30868
1148	100762	30781
1149	100848	30693
1150	100938	30605
1151	101022	30517
1152	101113	30430
1153	101199	30342
1154	101288	30254
1155	101376	30167
1156	101466	30080
1157	101547	29990
1158	101632	29902
1159	101715	29813
1160	101803	29725
1161	101885	29636
1162	101968	29547
1163	102056	29459
1164	102143	29371
1165	102228	29283
1166	102313	29194
1167	102419	29112
1168	102509	29025
1169	102595	28937
1170	102697	28853
1171	102785	28765
1172	102873	28678
1173	102971	28593
1174	103060	28505
1175	103145	28417
1176	103231	28329
1177	103328	28244
1178	103418	28157
1179	103509	28070
1180	103591	27981
1181	103676	27892
1182	103762	27804
1183	103859	27719
1184	103943	27630
1185	104029	27542
1186	104112	27453
1187	104197	27364
1188	104287	27277
1189	104372	27189
1190	104459	27101
1191	104543	27013
1192	104637	26926
1193	104719	26837
1194	104812	26751
1195	104910	26666
1196	104997	26578
1197	105082	26489
1198	105167	26401
1199	105257	26314
1200	105342	26226
1201	105438	26140
1202	105528	26053
1203	105621	25966
1204	105704	25877
1205	105794	25790
1206	105881	25702
1207	105968	25614
1208	106057	25527
1209	106148	25440
1210	106231	25351
1211	106316	25263
1212	106404	25175
1213	106486	25086
1214	106573	24998
1215	106664	24911
1216	106754	24824
1217	106840	24736
1218	106929	24648
1219	107013	24560
1220	107103	24473
1221	107192	24385
1222	107279	24298
1223	107366	24210
1224	107453	24122
1225	107543	24035
1226	107626	23946
1227	107710	23857
1228	107796	23769
1229	107885	23682
1230	107969	23593
1231	108058	23506
1232	108144	23418
1233	108233	23330
1234	108315	23241
1235	108400	23153
1236	108486	23065
1237	108568	22976
1238	108654	22888
1239	108740	22800
1240	108823	22711
1241	108914	22624
1242	108999	22536
1243	109082	22447
1244	109170	22360
1245	109254	22271
1246	109344	22184
1247	109429	22096
1248	109510	22007
1249	109593	21918
1250	109677	21830
1251	109770	21743
1252	109858	21656
1253	109943	21567
1254	110033	21480
1255	110117	21392
1256	110205	21304
1257	110289	21216
1258	110372	21127
1259	110462	21040
1260	110550	20952
1261	110632	20864
1262	110711	20774
1263	110799	20687
1264	110886	20599
1265	110978	20512
1266	111061	20424
1267	111164	20339
1268	111253	20251
1269	111336	20163
1270	111424	20075
1271	111511	19987
1272	111603	19900
1273	111702	19815
1274	111790	19727
1275	111879	19640
1276	111963	19551
1277	112047	19463
1278	112136	19376
1279	112229	19289
1280	112312	19200
1281	112403	19113
1282	112489	19025
1283	112579	18938
1284	112673	18851
1285	112756	18763
1286	112846	18676
1287	112929	18587
1288	113020	18500
1289	113108	18412
1290	113197	18325
1291	113283	18237
1292	113371	18149
1293	113457	18061
1294	113547	17974
1295	113639	17887
1296	113730	17800
1297	113814	17712
1298	113896	17623
1299	113979	17535
1300	114075	17448
1301	114172	17362
1302	114261	17275
1303	114349	17187
1304	114434	17099
1305	114520	17011
1306	114608	16923
1307	114696	16836
1308	114778	16747
1309	114889	16663
1310	114976	16575
1311	115036	16483
1312	115128	16396
1313	115213	16308
1314	115302	16221
1315	115391	16133
1316	115476	16045
1317	115564	15958
1318	115651	15870
1319	115736	15782
1320	115820	15694
1321	115909	15606
1322	115998	15519
1323	116080	15430
1324	116168	15343
1325	116261	15256
1326	116344	15167
1327	116432	15080
1328	116515	14991
1329	116599	14903
1330	116687	14816
1331	116777	14728
1332	116867	14641
1333	116948	14552
1334	117035	14465
1335	117119	14377
1336	117205	14289
1337	117291	14201
1338	117375	14113
1339	117458	14024
1340	117545	13937
1341	117632	13849
1342	117720	13761
1343	117803	13673
1344	117888	13585
1345	117974	13497
1346	118063	13410
1347	118147	13322
1348	118230	13234
1349	118316	13146
1350	118398	13058
1351	118465	12968
1352	118516	12876
1353	118601	12788
1354	118687	12700
1355	118775	12613
1356	118861	12525
1357	118944	12437
1358	119033	12350
1359	119121	12262
1360	119208	12174
1361	119296	12087
1362	119370	11998
1363	119459	11910
1364	119549	11823
1365	119636	11735
1366	119730	11648
1367	119820	11561
1368	119907	11473
1369	119994	11386
1370	120079	11298
1371	120169	11211
1372	120259	11123
1373	120346	11036
1374	120436	10948
1375	120526	10861
1376	120613	10773
1377	120701	10686
1378	120789	10598
1379	120877	10511
1380	120928	10420
1381	121014	10332
1382	121104	10245
1383	121195	10157
1384	121284	10070
1385	121379	9983
1386	121475	9896
1387	121567	9809
1388	121659	9722
1389	121753	9635
1390	121850	9548
1391	121940	9460
1392	122035	9373
1393	122124	9286
1394	122216	9199
1395	122302	9111
1396	122388	9023
1397	122479	8936
1398	122573	8849
1399	122665	8761
1400	122752	8674
1401	122845	8586
1402	122934	8499
1403	123034	8412
1404	123129	8325
1405	123222	8238
1406	123309	8150
1407	123398	8062
1408	123486	7975
1409	123576	7887
1410	123667	7800
1411	123759	7713
1412	123852	7625
1413	123940	7538
1414	124034	7450
1415	124126	7363
1416	124220	7276
1417	124309	7188
1418	124396	7100
1419	124486	7013
1420	124574	6925
1421	124661	6837
1422	124753	6750
1423	124846	6663
1424	124935	6575
1425	125032	6488
1426	125126	6401
1427	125213	6313
1428	125302	6225
1429	125365	6136
1430	125457	6049
1431	125546	5961
1432	125633	5873
1433	125719	5786
1434	125810	5698
1435	125898	5611
1436	125954	5522
1437	126043	5434
1438	126127	5346
1439	126216	5259
1440	126302	5171
1441	126391	5083
1442	126476	4995
1443	126566	4908
1444	126661	4821
1445	126754	4733
1446	126848	4646
1447	126939	4558
1448	127021	4470
1449	127107	4383
1450	127194	4295
1451	127288	4207
1452	127380	4120
1453	127472	4032
1454	127560	3945
1455	127647	3857
1456	127738	3769
1457	127826	3682
1458	127945	3595
1459	128031	3507
1460	128118	3419
1461	128209	3332
1462	128297	3244
1463	128381	3156
1464	128466	3069
1465	128556	2981
1466	128640	2893
1467	128728	2806
1468	128815	2718
1469	128903	2630
1470	128991	2542
1471	129085	2455
1472	129177	2367
1473	129268	2280
1474	129359	2192
1475	129451	2104
1476	129540	2017
1477	129629	1929
1478	129717	1841
1479	129804	1754
1480	129894	1666
1481	129978	1578
1482	130059	1490
1483	130152	1403
1484	130234	1315
1485	130327	1227
1486	130414	1140
1487	130499	1052
1488	130583	964
1489	130671	876
1490	130760	789
1491	130850	701
1492	130935	613
1493	131023	526
1494	131109	438
1495	131193	350
1496	131277	263
1497	131365	175
1498	131455	87
1499	131546	0
